epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,1182.66,0.6276,0.32305,0.78313,0.99403,1,0.99247,0.86477,0.61845,0.35703,0.79799,0.0014456,0.0014456,0.0014456
142,1190.85,0.61847,0.30812,0.78737,0.99409,1,0.99235,0.86513,0.60683,0.35103,0.79685,0.00144164,0.00144164,0.00144164
143,1199.1,0.61823,0.31198,0.78517,0.99424,1,0.99226,0.86286,0.60269,0.33498,0.7982,0.00143768,0.00143768,0.00143768
144,1207.19,0.60089,0.30877,0.79295,0.99654,1,0.99217,0.86777,0.59726,0.33204,0.79587,0.00143372,0.00143372,0.00143372
145,1215.28,0.62274,0.31365,0.78933,0.99667,1,0.99225,0.85644,0.6301,0.33978,0.7979,0.00142976,0.00142976,0.00142976
146,1223.35,0.60071,0.30702,0.78529,0.99393,1,0.99219,0.86492,0.60707,0.32114,0.79782,0.0014258,0.0014258,0.0014258
147,1231.59,0.60739,0.30759,0.77757,0.99407,1,0.99288,0.86764,0.60841,0.31463,0.79794,0.00142184,0.00142184,0.00142184
148,1239.65,0.59754,0.30067,0.78322,0.99677,1,0.99246,0.87489,0.59289,0.3213,0.79725,0.00141788,0.00141788,0.00141788
149,1247.71,0.61397,0.30953,0.78317,0.99696,1,0.9922,0.85544,0.62279,0.33662,0.79808,0.00141392,0.00141392,0.00141392
150,1255.82,0.58693,0.29988,0.79159,0.9969,1,0.99228,0.86629,0.59334,0.34033,0.79672,0.00140996,0.00140996,0.00140996
151,1264.03,0.63806,0.315,0.78584,0.99689,1,0.99217,0.86662,0.6296,0.34796,0.79747,0.001406,0.001406,0.001406
152,1272.19,0.63528,0.32032,0.77917,0.99678,1,0.99217,0.86924,0.59509,0.34063,0.79631,0.00140204,0.00140204,0.00140204
153,1280.38,0.60673,0.3098,0.77799,0.99682,1,0.9922,0.86738,0.60148,0.32959,0.7981,0.00139808,0.00139808,0.00139808
154,1288.68,0.59756,0.30728,0.78724,0.99695,1,0.99225,0.86345,0.61215,0.33549,0.79845,0.00139412,0.00139412,0.00139412
155,1296.85,0.61205,0.30628,0.7821,0.99706,1,0.99217,0.85842,0.59971,0.34063,0.79917,0.00139016,0.00139016,0.00139016
156,1304.97,0.62563,0.314,0.78419,0.99708,1,0.99223,0.86779,0.60394,0.34176,0.79782,0.0013862,0.0013862,0.0013862
157,1313.24,0.59225,0.30685,0.785,0.997,1,0.99214,0.86214,0.62246,0.35883,0.79909,0.00138224,0.00138224,0.00138224
158,1321.49,0.61094,0.31072,0.78961,0.99689,1,0.9922,0.85971,0.63546,0.34055,0.8015,0.00137828,0.00137828,0.00137828
159,1329.57,0.60041,0.31132,0.78721,0.9969,1,0.99223,0.8733,0.59304,0.3438,0.79813,0.00137432,0.00137432,0.00137432
160,1337.63,0.59535,0.30406,0.77033,0.99693,1,0.99234,0.86586,0.6277,0.34802,0.79821,0.00137036,0.00137036,0.00137036
161,1345.9,0.59792,0.30918,0.79111,0.99702,1,0.99251,0.86768,0.60659,0.33099,0.79867,0.0013664,0.0013664,0.0013664
162,1353.95,0.63055,0.31694,0.78655,0.99697,1,0.99234,0.86816,0.60486,0.33746,0.79741,0.00136244,0.00136244,0.00136244
163,1362.05,0.61573,0.30919,0.78135,0.99702,1,0.99249,0.86558,0.60287,0.36245,0.79497,0.00135848,0.00135848,0.00135848
164,1370.14,0.6082,0.31476,0.78208,0.99687,1,0.99231,0.87085,0.59341,0.35895,0.79775,0.00135452,0.00135452,0.00135452
165,1378.34,0.62533,0.30858,0.78789,0.99711,0.99968,0.99225,0.87312,0.59127,0.32372,0.79809,0.00135056,0.00135056,0.00135056
166,1386.52,0.6026,0.30046,0.78712,0.99689,1,0.99225,0.8657,0.59294,0.32737,0.79717,0.0013466,0.0013466,0.0013466
167,1394.65,0.58626,0.29878,0.77754,0.99683,1,0.99225,0.87328,0.59191,0.31879,0.79733,0.00134264,0.00134264,0.00134264
168,1402.85,0.58526,0.29697,0.78084,0.99696,1,0.99237,0.87492,0.59204,0.31864,0.79811,0.00133868,0.00133868,0.00133868
169,1411.32,0.59572,0.30347,0.77876,0.99691,1,0.99231,0.86589,0.59853,0.32047,0.79731,0.00133472,0.00133472,0.00133472
170,1419.51,0.60815,0.30178,0.78744,0.9969,1,0.99269,0.86767,0.59175,0.31483,0.79677,0.00133076,0.00133076,0.00133076
171,1427.75,0.57831,0.29046,0.78234,0.99689,1,0.99234,0.87747,0.60249,0.33467,0.79691,0.0013268,0.0013268,0.0013268
172,1436.02,0.59891,0.2992,0.78186,0.99689,1,0.99237,0.87435,0.5784,0.31374,0.79496,0.00132284,0.00132284,0.00132284
173,1444.39,0.59281,0.30318,0.77871,0.99689,1,0.99225,0.86867,0.61833,0.32316,0.79698,0.00131888,0.00131888,0.00131888
174,1452.63,0.5955,0.30091,0.78768,0.99691,1,0.99249,0.8652,0.62325,0.32621,0.79806,0.00131492,0.00131492,0.00131492
175,1460.88,0.60521,0.30228,0.78231,0.99699,1,0.99312,0.85796,0.62527,0.32796,0.79901,0.00131096,0.00131096,0.00131096
176,1469.16,0.60544,0.31077,0.79086,0.99687,1,0.99269,0.85561,0.61694,0.34437,0.79845,0.001307,0.001307,0.001307
177,1477.62,0.60449,0.31194,0.78524,0.99705,1,0.99231,0.86824,0.59228,0.33824,0.79576,0.00130304,0.00130304,0.00130304
178,1485.88,0.59047,0.30948,0.77595,0.99684,1,0.99269,0.86379,0.62407,0.32807,0.7981,0.00129908,0.00129908,0.00129908
179,1494.19,0.58778,0.30552,0.7833,0.99691,1,0.99225,0.86751,0.60337,0.33948,0.79664,0.00129512,0.00129512,0.00129512
180,1502.71,0.59701,0.30052,0.7817,0.99707,1,0.99225,0.86817,0.60052,0.32438,0.79929,0.00129116,0.00129116,0.00129116
181,1510.99,0.58758,0.29318,0.78991,0.99711,0.99985,0.9922,0.86821,0.60071,0.32481,0.79726,0.0012872,0.0012872,0.0012872
182,1519.22,0.58777,0.29219,0.78073,0.99696,1,0.9922,0.87054,0.60355,0.30959,0.79836,0.00128324,0.00128324,0.00128324
183,1527.67,0.58006,0.29597,0.77561,0.99692,1,0.99214,0.87293,0.60068,0.31238,0.79776,0.00127928,0.00127928,0.00127928
184,1535.99,0.60615,0.29984,0.78612,0.99689,1,0.9922,0.87188,0.59094,0.32012,0.79807,0.00127532,0.00127532,0.00127532
185,1544.26,0.59145,0.29804,0.78795,0.99706,1,0.9922,0.8725,0.59481,0.32793,0.7964,0.00127136,0.00127136,0.00127136
186,1552.52,0.59987,0.30516,0.78507,0.99701,1,0.99225,0.86052,0.62034,0.33369,0.79845,0.0012674,0.0012674,0.0012674
187,1560.96,0.58769,0.29648,0.78295,0.99692,1,0.99246,0.86658,0.61839,0.31704,0.79896,0.00126344,0.00126344,0.00126344
188,1569.25,0.59512,0.30282,0.78801,0.99687,1,0.99263,0.86877,0.61235,0.32673,0.79734,0.00125948,0.00125948,0.00125948
